id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,trip_distance_km,speed_kmph,pickup_hour,pickup_dayofweek
id3487442,2,2016-02-29 18:39:12,2016-02-29 18:42:59,1,-73.98181915283203,40.76896286010742,-73.98181915283203,40.76896286010742,N,227,0.0,0.0,18,Monday
id0924324,2,2016-05-10 18:07:52,2016-05-10 18:26:21,2,-73.95906829833984,40.77566146850586,-73.95906829833984,40.77566146850586,N,1109,0.0,0.0,18,Tuesday
id1145809,2,2016-05-16 23:15:13,2016-05-16 23:31:00,6,-73.80848693847656,40.68733596801758,-73.80848693847656,40.68733596801758,N,947,0.0,0.0,23,Monday
id3499387,1,2016-01-25 19:45:12,2016-01-25 19:54:52,1,-73.78672027587889,40.64704132080078,-73.78672027587889,40.64704132080078,N,580,0.0,0.0,19,Monday
id0729156,2,2016-06-23 13:36:48,2016-06-23 13:36:50,3,-73.82765960693358,40.716175079345696,-73.82211303710938,40.71145248413086,N,2,0.7030648240862594,1265.5166833552669,13,Thursday
id0753277,1,2016-01-27 22:29:31,2016-01-27 22:29:58,1,-74.20985412597656,40.81685256958008,-74.20985412597656,40.81685256958008,N,27,0.0,0.0,22,Wednesday
id2134482,1,2016-01-22 16:13:01,2016-01-22 16:13:20,1,-73.77631378173827,40.64545440673828,-73.77631378173827,40.64545440673828,N,19,0.0,0.0,16,Friday
id2892749,1,2016-01-18 15:24:43,2016-01-18 15:28:57,5,-73.95466613769531,40.82100296020508,-73.95466613769531,40.82100296020508,Y,254,0.0,0.0,15,Monday
id0931199,2,2016-05-04 22:28:43,2016-05-04 22:32:51,1,-73.95462799072266,40.77717971801758,-73.95462799072266,40.77717971801758,N,248,0.0,0.0,22,Wednesday
id2251007,2,2016-05-23 14:20:49,2016-05-23 14:20:57,1,-73.78182983398438,40.64469909667969,-73.78182983398438,40.64469909667969,N,8,0.0,0.0,14,Monday
id1992673,2,2016-03-02 20:10:41,2016-03-02 20:30:53,5,-73.87531280517578,40.773681640625,-73.87531280517578,40.773681640625,N,1212,0.0,0.0,20,Wednesday
id3885040,1,2016-04-18 12:55:14,2016-04-18 12:55:20,1,-73.78823852539062,40.64147567749024,-73.78823852539062,40.64147567749024,N,6,0.0,0.0,12,Monday
id3206922,2,2016-04-24 18:38:34,2016-04-24 18:48:32,1,-73.98516845703125,40.73625946044922,-73.98516845703125,40.73625946044922,N,598,0.0,0.0,18,Sunday
id2206138,1,2016-01-21 12:07:45,2016-01-21 12:07:51,1,-73.78271484375,40.64396667480469,-73.78271484375,40.64396667480469,N,6,0.0,0.0,12,Thursday
id1606138,2,2016-04-27 15:14:54,2016-04-27 15:15:01,2,-74.1777801513672,40.69028091430664,-74.1777801513672,40.69028091430664,N,7,0.0,0.0,15,Wednesday
id0068745,2,2016-05-26 17:25:41,2016-05-26 17:35:45,2,-73.95205688476561,40.7900505065918,-73.95205688476561,40.7900505065918,N,604,0.0,0.0,17,Thursday
id3861452,2,2016-06-26 17:44:11,2016-06-26 18:06:16,2,-73.86337280273438,40.76995849609375,-73.86337280273438,40.76995849609375,N,1325,0.0,0.0,17,Sunday
id3695064,1,2016-04-11 15:30:02,2016-04-11 15:30:19,1,-73.7940673828125,40.65717315673828,-73.7940673828125,40.65717315673828,N,17,0.0,0.0,15,Monday
id3035499,2,2016-05-23 20:24:43,2016-05-23 20:36:07,1,-73.99101257324217,40.75659942626953,-73.99101257324217,40.75659942626953,N,684,0.0,0.0,20,Monday
id0915475,1,2016-03-14 06:03:38,2016-03-14 06:03:43,1,-73.98240661621094,40.731143951416016,-73.98240661621094,40.731143951416016,N,5,0.0,0.0,6,Monday
id1712432,1,2016-01-31 17:46:16,2016-01-31 18:02:04,1,-73.79071807861328,40.64409637451172,-73.79071807861328,40.64409637451172,N,948,0.0,0.0,17,Sunday
id0312319,1,2016-06-17 19:01:34,2016-06-17 19:05:05,1,-74.00070953369139,40.66137313842773,-74.00070953369139,40.66137313842773,N,211,0.0,0.0,19,Friday
id3576039,1,2016-02-19 12:21:15,2016-02-19 12:24:01,1,-73.95230865478516,40.77139663696289,-73.95230865478516,40.77139663696289,N,166,0.0,0.0,12,Friday
id3032018,2,2016-05-02 07:27:12,2016-05-02 07:35:54,2,-73.75617218017578,40.71608352661133,-73.75617218017578,40.71608352661133,N,522,0.0,0.0,7,Monday
id0688948,1,2016-04-14 20:13:28,2016-04-14 20:13:43,1,-74.16180419921875,40.83649444580078,-74.16180419921875,40.83649444580078,N,15,0.0,0.0,20,Thursday
id1855512,2,2016-01-29 02:40:15,2016-01-29 02:40:25,1,-73.95912170410156,40.71208953857422,-73.95912170410156,40.71208953857422,N,10,0.0,0.0,2,Friday
id3134126,2,2016-03-20 04:14:27,2016-03-20 04:15:06,1,-73.9695053100586,40.75765228271485,-73.9695053100586,40.75765228271485,N,39,0.0,0.0,4,Sunday
id1414524,1,2016-05-04 09:04:33,2016-05-04 09:05:48,1,-73.79019165039062,40.64348220825195,-73.79019165039062,40.64348220825195,N,75,0.0,0.0,9,Wednesday
id0796177,2,2016-04-20 16:41:06,2016-04-20 16:41:22,1,-73.93710327148438,40.76482009887695,-73.93710327148438,40.76482009887695,N,16,0.0,0.0,16,Wednesday
id3541058,1,2016-02-27 18:20:47,2016-02-27 18:21:32,1,-74.0265121459961,40.74811172485352,-74.0265121459961,40.74811172485352,N,45,0.0,0.0,18,Saturday
id1247127,2,2016-03-10 12:43:31,2016-03-10 12:51:17,1,-73.96054077148438,40.812801361083984,-73.96054077148438,40.812801361083984,N,466,0.0,0.0,12,Thursday
id2418561,2,2016-02-04 01:02:57,2016-02-04 01:11:39,6,-73.97447204589844,40.75484848022461,-73.97447204589844,40.75484848022461,N,522,0.0,0.0,1,Thursday
id2706000,1,2016-01-17 00:25:13,2016-01-17 00:28:10,1,-73.95466613769531,40.82100296020508,-73.95466613769531,40.82100296020508,N,177,0.0,0.0,0,Sunday
id0602796,2,2016-01-28 12:25:51,2016-01-28 12:31:17,1,-73.98381805419923,40.737586975097656,-73.98381805419923,40.737586975097656,N,326,0.0,0.0,12,Thursday
id2466113,2,2016-05-22 09:59:56,2016-05-22 10:02:52,2,-73.9887466430664,40.745311737060554,-73.9887466430664,40.745311737060554,N,176,0.0,0.0,9,Sunday
id3819108,1,2016-06-08 12:06:42,2016-06-08 12:07:42,1,-73.8670883178711,40.77034378051758,-73.8670883178711,40.77034378051758,N,60,0.0,0.0,12,Wednesday
id0309508,2,2016-04-30 00:27:52,2016-04-30 00:38:03,1,-73.9890365600586,40.73078918457031,-73.9890365600586,40.73078918457031,N,611,0.0,0.0,0,Saturday
id2763214,2,2016-05-14 20:15:00,2016-05-14 20:31:19,5,-73.98442840576173,40.72476577758789,-73.98442840576173,40.72476577758789,N,979,0.0,0.0,20,Saturday
id2020993,2,2016-06-07 16:38:55,2016-06-07 17:06:55,1,-73.95394134521484,40.82189178466797,-73.95394134521484,40.82189178466797,N,1680,0.0,0.0,16,Tuesday
id1322274,2,2016-04-27 12:21:08,2016-04-27 12:21:17,1,-74.00521850585938,40.73394012451172,-74.00521850585938,40.73394012451172,N,9,0.0,0.0,12,Wednesday
id0075977,1,2016-01-27 23:48:20,2016-01-27 23:56:46,1,-73.98438262939453,40.74574661254882,-73.98438262939453,40.74574661254882,N,506,0.0,0.0,23,Wednesday
id1209400,1,2016-05-16 10:57:44,2016-05-16 10:58:04,1,-73.99651336669923,40.74127960205078,-73.99651336669923,40.74127960205078,N,20,0.0,0.0,10,Monday
id3535158,1,2016-02-11 18:57:20,2016-02-11 19:14:00,1,-73.73523712158203,40.82271194458008,-73.73523712158203,40.82271194458008,N,1000,0.0,0.0,18,Thursday
